Tỉnh Thành Phố,Mã TP,Quận Huyện,Mã QH,Phường Xã,Mã PX
Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Cổ Loa,505
Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Hải Bối,508
Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Xuân Canh,511
Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Võng La,514
Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Tàm Xá,517
Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Mai Lâm,520
Thành phố Hà Nội,1,Huyện Đông Anh,17,Xã Đông Hội,523
Thành phố Hà Nội,1,Huyện Gia Lâm,18,Thị trấn Yên Viên,526
Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Yên Thường,529
Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Yên Viên,532
Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Ninh Hiệp,535
Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Đình Xuyên,538
Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Dương Hà,541
Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Phù Đổng,544
Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Trung Mầu,547
Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Lệ Chi,550
Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Cổ Bi,553
Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Đặng Xá,556
Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Phú Thị,559
Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Kim Sơn,562
Thành phố Hà Nội,1,Huyện Gia Lâm,18,Thị trấn Trâu Quỳ,565
Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Dương Quang,568
Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Dương Xá,571
Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Đông Dư,574
Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Đa Tốn,577
Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Kiêu Kỵ,580
Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Bát Tràng,583
Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Kim Lan,586
Thành phố Hà Nội,1,Huyện Gia Lâm,18,Xã Văn Đức,589
Thành phố Hà Nội,1,Quận Nam Từ Liêm,19,Phường Cầu Diễn,592
Thành phố Hà Nội,1,Quận Nam Từ Liêm,19,Phường Xuân Phương,622
Thành phố Hà Nội,1,Quận Nam Từ Liêm,19,Phường Phương Canh,623
Thành phố Hà Nội,1,Quận Nam Từ Liêm,19,Phường Mỹ Đình 1,625
Thành phố Hà Nội,1,Quận Nam Từ Liêm,19,Phường Mỹ Đình 2,626
Thành phố Hà Nội,1,Quận Nam Từ Liêm,19,Phường Tây Mỗ,628
Thành phố Hà Nội,1,Quận Nam Từ Liêm,19,Phường Mễ Trì,631
Thành phố Hà Nội,1,Quận Nam Từ Liêm,19,Phường Phú Đô,632
Thành phố Hà Nội,1,Quận Nam Từ Liêm,19,Phường Đại Mỗ,634
Thành phố Hà Nội,1,Quận Nam Từ Liêm,19,Phường Trung Văn,637
Thành phố Hà Nội,1,Huyện Thanh Trì,20,Thị trấn Văn Điển,640
Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Tân Triều,643
Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Thanh Liệt,646
Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Tả Thanh Oai,649
Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Hữu Hoà,652
Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Tam Hiệp,655
Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Tứ Hiệp,658
Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Yên Mỹ,661
Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Vĩnh Quỳnh,664
Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Ngũ Hiệp,667
Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Duyên Hà,670
Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Ngọc Hồi,673
Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Vạn Phúc,676
Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Đại áng,679
Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Liên Ninh,682
Thành phố Hà Nội,1,Huyện Thanh Trì,20,Xã Đông Mỹ,685
Thành phố Hà Nội,1,Quận Bắc Từ Liêm,21,Phường Thượng Cát,595
Thành phố Hà Nội,1,Quận Bắc Từ Liêm,21,Phường Liên Mạc,598
Thành phố Hà Nội,1,Quận Bắc Từ Liêm,21,Phường Đông Ngạc,601
Thành phố Hà Nội,1,Quận Bắc Từ Liêm,21,Phường Đức Thắng,602
Thành phố Hà Nội,1,Quận Bắc Từ Liêm,21,Phường Thụy Phương,604
Thành phố Hà Nội,1,Quận Bắc Từ Liêm,21,Phường Tây Tựu,607
Thành phố Hà Nội,1,Quận Bắc Từ Liêm,21,Phường Xuân Đỉnh,610
Thành phố Hà Nội,1,Quận Bắc Từ Liêm,21,Phường Xuân Tảo,611
Thành phố Hà Nội,1,Quận Bắc Từ Liêm,21,Phường Minh Khai,613
Thành phố Hà Nội,1,Quận Bắc Từ Liêm,21,Phường Cổ Nhuế 1,616
Thành phố Hà Nội,1,Quận Bắc Từ Liêm,21,Phường Cổ Nhuế 2,617
Thành phố Hà Nội,1,Quận Bắc Từ Liêm,21,Phường Phú Diễn,619
Thành phố Hà Nội,1,Quận Bắc Từ Liêm,21,Phường Phúc Diễn,620
Thành phố Hà Nội,1,Huyện Mê Linh,250,Thị trấn Chi Đông,8973
Thành phố Hà Nội,1,Huyện Mê Linh,250,Xã Đại Thịnh,8974
Thành phố Hà Nội,1,Huyện Mê Linh,250,Xã Kim Hoa,8977
Thành phố Hà Nội,1,Huyện Mê Linh,250,Xã Thạch Đà,8980
Thành phố Hà Nội,1,Huyện Mê Linh,250,Xã Tiến Thắng,8983
Thành phố Hà Nội,1,Huyện Mê Linh,250,Xã Tự Lập,8986
Thành phố Hà Nội,1,Huyện Mê Linh,250,Thị trấn Quang Minh,8989
Thành phố Hà Nội,1,Huyện Mê Linh,250,Xã Thanh Lâm,8992
Thành phố Hà Nội,1,Huyện Mê Linh,250,Xã Tam Đồng,8995
Thành phố Hà Nội,1,Huyện Mê Linh,250,Xã Liên Mạc,8998
Thành phố Hà Nội,1,Huyện Mê Linh,250,Xã Vạn Yên,9001
Thành phố Hà Nội,1,Huyện Mê Linh,250,Xã Chu Phan,9004
Thành phố Hà Nội,1,Huyện Mê Linh,250,Xã Tiến Thịnh,9007
Thành phố Hà Nội,1,Huyện Mê Linh,250,Xã Mê Linh,9010
Thành phố Hà Nội,1,Huyện Mê Linh,250,Xã Văn Khê,9013
Thành phố Hà Nội,1,Huyện Mê Linh,250,Xã Hoàng Kim,9016
Thành phố Hà Nội,1,Huyện Mê Linh,250,Xã Tiền Phong,9019
Thành phố Hà Nội,1,Huyện Mê Linh,250,Xã Tráng Việt,9022
Thành phố Hà Nội,1,Quận Hà Đông,268,Phường Nguyễn Trãi,9538
Thành phố Hà Nội,1,Quận Hà Đông,268,Phường Mộ Lao,9541
Thành phố Hà Nội,1,Quận Hà Đông,268,Phường Văn Quán,9542
Thành phố Hà Nội,1,Quận Hà Đông,268,Phường Vạn Phúc,9544
Thành phố Hà Nội,1,Quận Hà Đông,268,Phường Yết Kiêu,9547
Thành phố Hà Nội,1,Quận Hà Đông,268,Phường Quang Trung,9550
Thành phố Hà Nội,1,Quận Hà Đông,268,Phường La Khê,9551
Thành phố Hà Nội,1,Quận Hà Đông,268,Phường Phú La,9552
Thành phố Hà Nội,1,Quận Hà Đông,268,Phường Phúc La,9553
Thành phố Hà Nội,1,Quận Hà Đông,268,Phường Hà Cầu,9556
Thành phố Hà Nội,1,Quận Hà Đông,268,Phường Yên Nghĩa,9562
Thành phố Hà Nội,1,Quận Hà Đông,268,Phường Kiến Hưng,9565
Thành phố Hà Nội,1,Quận Hà Đông,268,Phường Phú Lãm,9568
Thành phố Hà Nội,1,Quận Hà Đông,268,Phường Phú Lương,9571
Thành phố Hà Nội,1,Quận Hà Đông,268,Phường Dương Nội,9886
Thành phố Hà Nội,1,Quận Hà Đông,268,Phường Đồng Mai,10117
Thành phố Hà Nội,1,Quận Hà Đông,268,Phường Biên Giang,10123
Thành phố Hà Nội,1,Thị xã Sơn Tây,269,Phường Lê Lợi,9574
Thành phố Hà Nội,1,Thị xã Sơn Tây,269,Phường Phú Thịnh,9577
Thành phố Hà Nội,1,Thị xã Sơn Tây,269,Phường Ngô Quyền,9580
Thành phố Hà Nội,1,Thị xã Sơn Tây,269,Phường Quang Trung,9583
Thành phố Hà Nội,1,Thị xã Sơn Tây,269,Phường Sơn Lộc,9586
Thành phố Hà Nội,1,Thị xã Sơn Tây,269,Phường Xuân Khanh,9589
Thành phố Hà Nội,1,Thị xã Sơn Tây,269,Xã Đường Lâm,9592
Thành phố Hà Nội,1,Thị xã Sơn Tây,269,Phường Viên Sơn,9595
Thành phố Hà Nội,1,Thị xã Sơn Tây,269,Xã Xuân Sơn,9598
Thành phố Hà Nội,1,Thị xã Sơn Tây,269,Phường Trung Hưng,9601
Thành phố Hà Nội,1,Thị xã Sơn Tây,269,Xã Thanh Mỹ,9604
Thành phố Hà Nội,1,Thị xã Sơn Tây,269,Phường Trung Sơn Trầm,9607
Thành phố Hà Nội,1,Thị xã Sơn Tây,269,Xã Kim Sơn,9610
Thành phố Hà Nội,1,Thị xã Sơn Tây,269,Xã Sơn Đông,9613
Thành phố Hà Nội,1,Thị xã Sơn Tây,269,Xã Cổ Đông,9616
Thành phố Hà Nội,1,Huyện Ba Vì,271,Thị trấn Tây Đằng,9619
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Phú Cường,9625
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Cổ Đô,9628
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Tản Hồng,9631
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Vạn Thắng,9634
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Châu Sơn,9637
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Phong Vân,9640
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Phú Đông,9643
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Phú Phương,9646
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Phú Châu,9649
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Thái Hòa,9652
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Đồng Thái,9655
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Phú Sơn,9658
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Minh Châu,9661
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Vật Lại,9664
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Chu Minh,9667
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Tòng Bạt,9670
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Cẩm Lĩnh,9673
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Sơn Đà,9676
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Đông Quang,9679
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Tiên Phong,9682
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Thụy An,9685
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Cam Thượng,9688
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Thuần Mỹ,9691
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Tản Lĩnh,9694
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Ba Trại,9697
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Minh Quang,9700
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Ba Vì,9703
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Vân Hòa,9706
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Yên Bài,9709
Thành phố Hà Nội,1,Huyện Ba Vì,271,Xã Khánh Thượng,9712
Thành phố Hà Nội,1,Huyện Phúc Thọ,272,Thị trấn Phúc Thọ,9715
Thành phố Hà Nội,1,Huyện Phúc Thọ,272,Xã Vân Hà,9718
Thành phố Hà Nội,1,Huyện Phúc Thọ,272,Xã Vân Phúc,9721
Thành phố Hà Nội,1,Huyện Phúc Thọ,272,Xã Vân Nam,9724
Thành phố Hà Nội,1,Huyện Phúc Thọ,272,Xã Xuân Đình,9727
Thành phố Hà Nội,1,Huyện Phúc Thọ,272,Xã Sen Phương,9733
Thành phố Hà Nội,1,Huyện Phúc Thọ,272,Xã Võng Xuyên,9739
Thành phố Hà Nội,1,Huyện Phúc Thọ,272,Xã Thọ Lộc,9742
Thành phố Hà Nội,1,Huyện Phúc Thọ,272,Xã Long Xuyên,9745
Thành phố Hà Nội,1,Huyện Phúc Thọ,272,Xã Thượng Cốc,9748
Thành phố Hà Nội,1,Huyện Phúc Thọ,272,Xã Hát Môn,9751
Thành phố Hà Nội,1,Huyện Phúc Thọ,272,Xã Tích Giang,9754
Thành phố Hà Nội,1,Huyện Phúc Thọ,272,Xã Thanh Đa,9757
Thành phố Hà Nội,1,Huyện Phúc Thọ,272,Xã Trạch Mỹ Lộc,9760
Thành phố Hà Nội,1,Huyện Phúc Thọ,272,Xã Phúc Hòa,9763
Thành phố Hà Nội,1,Huyện Phúc Thọ,272,Xã Ngọc Tảo,9766
